"processing_end_time","processing_start_time","message_arrived","diff","message_sent"
"1557687128.401232","1557687128.054843","1557687128.432241","0.4223780632019043","1557687128.009863"
"1557687129.46364","1557687129.064867","1557687129.491604","0.4678020477294922","1557687129.023802"
"1557687130.453616","1557687130.089156","1557687130.478142","0.4402611255645752","1557687130.037881"
"1557687131.453266","1557687131.107271","1557687131.482941","0.4273660182952881","1557687131.055575"
"1557687132.520807","1557687132.119294","1557687132.720964","0.647040843963623","1557687132.073923"
"1557687133.660968","1557687133.299829","1557687133.689937","0.599891185760498","1557687133.090046"
"1557687134.505506","1557687134.162209","1557687134.534595","0.4263620376586914","1557687134.108233"
"1557687135.559176","1557687135.198399","1557687135.591231","0.4658620357513428","1557687135.125369"
"1557687136.551613","1557687136.186079","1557687136.579939","0.43579983711242676","1557687136.144139"
"1557687137.596208","1557687137.202385","1557687137.625746","0.4653010368347168","1557687137.160445"
"1557687138.584058","1557687138.219797","1557687138.615471","0.4379417896270752","1557687138.177529"
"1557687139.584648","1557687139.238952","1557687139.613647","0.41800498962402344","1557687139.195642"
"1557687140.646771","1557687140.254869","1557687140.678272","0.4657609462738037","1557687140.212511"
"1557687141.620795","1557687141.276175","1557687141.649747","0.4207608699798584","1557687141.228986"
"1557687142.689927","1557687142.287804","1557687142.721914","0.47434210777282715","1557687142.247572"
"1557687143.70183","1557687143.304766","1557687143.792208","0.528562068939209","1557687143.263646"
"1557687144.690813","1557687144.326556","1557687144.72148","0.4407498836517334","1557687144.28073"
"1557687145.690688","1557687145.339673","1557687145.719926","0.42151808738708496","1557687145.298408"
"1557687146.774061","1557687146.360026","1557687146.801035","0.4877469539642334","1557687146.313288"
"1557687147.726673","1557687147.3772","1557687147.75733","0.4252598285675049","1557687147.33207"
"1557687148.797243","1557687148.397282","1557687148.831878","0.4832320213317871","1557687148.348646"
"1557687149.820415","1557687149.418462","1557687149.849078","0.4831089973449707","1557687149.365969"
"1557687150.792917","1557687150.428079","1557687150.822677","0.443011999130249","1557687150.379665"
"1557687151.837605","1557687151.438361","1557687151.865233","0.4700429439544678","1557687151.39519"
"1557687152.864657","1557687152.4649","1557687152.898152","0.4808471202850342","1557687152.417305"
"1557687153.845104","1557687153.474081","1557687153.886639","0.4541611671447754","1557687153.432478"
"1557687154.93134","1557687154.505563","1557687154.957596","0.5092301368713379","1557687154.448366"
"1557687155.863743","1557687155.512132","1557687155.892302","0.4288661479949951","1557687155.463436"
"1557687156.879817","1557687156.532589","1557687157.003584","0.522756814956665","1557687156.480827"
"1557687157.935979","1557687157.546029","1557687157.96394","0.4670538902282715","1557687157.496886"
"1557687158.90634","1557687158.559655","1557687158.935943","0.4211719036102295","1557687158.514771"
"1557687159.945952","1557687159.578488","1557687159.976532","0.4444561004638672","1557687159.532076"
"1557687160.995582","1557687160.605174","1557687161.025034","0.47559499740600586","1557687160.549439"
"1557687161.956067","1557687161.610953","1557687161.992647","0.428433895111084","1557687161.564213"
"1557687162.972547","1557687162.627949","1557687162.999706","0.4188039302825928","1557687162.580902"
"1557687164.052245","1557687163.649807","1557687164.084166","0.4854550361633301","1557687163.598711"
"1557687165.005802","1557687164.658938","1557687165.034918","0.41922616958618164","1557687164.615692"
"1557687166.071298","1557687165.681766","1557687166.108059","0.47331881523132324","1557687165.63474"
"1557687167.092276","1557687166.701261","1557687167.120919","0.4705328941345215","1557687166.650386"
"1557687168.093174","1557687167.721769","1557687168.161119","0.49585890769958496","1557687167.66526"
"1557687169.091183","1557687168.744938","1557687169.12934","0.4510788917541504","1557687168.678261"
