,processing_end_time,processing_start_time,message_arrived,message_sent,processing_delay,network_delay,overall_delay
25,1557687048.109097,1557687047.707435,1557687048.201318,1557687047.653899,0.40166211128234863,0.14575695991516113,0.5474190711975098
26,1557687049.2300189,1557687048.883977,1557687049.257731,1557687048.671486,0.3460419178009033,0.2402031421661377,0.586245059967041
27,1557687050.3718278,1557687049.9743268,1557687050.480882,1557687049.688119,0.39750099182128906,0.3952620029449463,0.7927629947662354
28,1557687051.353405,1557687051.006183,1557687051.384964,1557687050.705118,0.34722208976745605,0.3326239585876465,0.6798460483551025
29,1557687052.117981,1557687051.772396,1557687052.14854,1557687051.7214642,0.3455848693847656,0.08149099349975586,0.4270758628845215
30,1557687053.176238,1557687052.783378,1557687053.20591,1557687052.7370641,0.39286017417907715,0.07598567008972168,0.46884584426879883
31,1557687054.1456661,1557687053.798964,1557687054.1753151,1557687053.754168,0.34670209884643555,0.07444500923156738,0.42114710807800293
32,1557687055.170534,1557687054.823451,1557687055.199241,1557687054.771763,0.34708285331726074,0.08039498329162598,0.4274778366088867
33,1557687056.2296462,1557687055.8348482,1557687056.256555,1557687055.787357,0.39479804039001465,0.07439994812011719,0.46919798851013184
34,1557687057.207164,1557687056.8621929,1557687057.235232,1557687056.804452,0.3449711799621582,0.08580899238586426,0.43078017234802246
35,1557687058.218169,1557687057.870681,1557687058.247043,1557687057.8198109,0.3474879264831543,0.07974410057067871,0.427232027053833
36,1557687059.2752938,1557687058.8818278,1557687059.304353,1557687058.836368,0.3934659957885742,0.07451891899108887,0.4679849147796631
37,1557687060.242557,1557687059.897613,1557687060.269998,1557687059.853175,0.3449440002441406,0.07187914848327637,0.416823148727417
38,1557687061.313894,1557687060.912591,1557687061.462111,1557687060.866899,0.4013030529022217,0.1939089298248291,0.5952119827270508
39,1557687062.29089,1557687061.9379392,1557687062.326868,1557687061.883415,0.3529508113861084,0.09050226211547852,0.4434530735015869
40,1557687063.306787,1557687062.95863,1557687063.3397849,1557687062.9022028,0.3481569290161133,0.08942508697509766,0.43758201599121094
41,1557687064.361343,1557687063.964953,1557687064.389885,1557687063.9200768,0.3963899612426758,0.07341814041137695,0.46980810165405273
42,1557687065.353344,1557687064.980788,1557687065.383415,1557687064.934746,0.3725559711456299,0.07611298561096191,0.4486689567565918
43,1557687066.337628,1557687065.994023,1557687066.369492,1557687065.951105,0.34360480308532715,0.07478213310241699,0.41838693618774414
44,1557687067.407231,1557687067.015072,1557687067.435197,1557687066.970062,0.39215898513793945,0.07297611236572266,0.4651350975036621
45,1557687068.3797722,1557687068.034612,1557687068.408849,1557687067.98809,0.34516024589538574,0.07559871673583984,0.4207589626312256
46,1557687069.446723,1557687069.053402,1557687069.476724,1557687069.006279,0.39332103729248047,0.07712388038635254,0.470444917678833
47,1557687070.4573529,1557687070.066641,1557687070.4854949,1557687070.023272,0.39071178436279297,0.07151103019714355,0.4622228145599365
48,1557687071.439626,1557687071.093709,1557687071.470167,1557687071.041274,0.3459169864654541,0.08297586441040039,0.4288928508758545
49,1557687072.5062141,1557687072.107425,1557687072.601788,1557687072.059269,0.3987891674041748,0.14372992515563965,0.5425190925598145
50,1557687073.694599,1557687073.295482,1557687073.7251189,1557687073.0763009,0.39911699295043945,0.24970102310180664,0.6488180160522461
