"diff","message_arrived","message_sent"
"0.14281892776489258","1557911333.2026958","1557911333.059877"
"0.07241511344909668","1557911334.1441932","1557911334.071778"
"0.18181419372558594","1557911335.2663195","1557911335.0845053"
"0.2812778949737549","1557911336.378332","1557911336.097054"
"0.16710162162780762","1557911337.2751448","1557911337.1080432"
"0.21674752235412598","1557911338.3363543","1557911338.1196067"
"0.23955774307250977","1557911339.3699374","1557911339.1303797"
"0.24944853782653809","1557911340.3918197","1557911340.1423712"
"0.29156494140625","1557911341.4455528","1557911341.153988"
"0.06610631942749023","1557911342.232937","1557911342.1668308"
"0.1291961669921875","1557911343.3075173","1557911343.1783211"
"0.07218265533447266","1557911344.2619011","1557911344.1897185"
"0.11743664741516113","1557911345.318531","1557911345.2010944"
"0.06088399887084961","1557911346.2737138","1557911346.2128298"
"0.13528060913085938","1557911347.360647","1557911347.2253664"
"0.07709217071533203","1557911348.3144002","1557911348.237308"
"0.10374593734741211","1557911349.3463802","1557911349.2426343"
"0.07038307189941406","1557911350.3253505","1557911350.2549675"
"0.10740447044372559","1557911351.3754318","1557911351.2680273"
"0.10856962203979492","1557911352.3893366","1557911352.280767"
"0.054789066314697266","1557911353.3491244","1557911353.2943354"
"0.15831327438354492","1557911354.4642425","1557911354.3059292"
"0.17091059684753418","1557911355.4888847","1557911355.317974"
"0.33482861518859863","1557911356.6642466","1557911356.329418"
"0.1246335506439209","1557911357.466705","1557911357.3420715"
"0.10552000999450684","1557911358.4593906","1557911358.3538706"
"0.1490025520324707","1557911359.5072873","1557911359.3582847"
"0.04993605613708496","1557911360.4127285","1557911360.3627925"
"0.09718894958496094","1557911361.4652448","1557911361.3680558"
"0.1340174674987793","1557911362.5076408","1557911362.3736234"
"0.05176568031311035","1557911363.4320722","1557911363.3803065"
"0.10592198371887207","1557911364.4911616","1557911364.3852396"
"0.09354853630065918","1557911365.4844222","1557911365.3908737"
"0.1080162525177002","1557911366.5039163","1557911366.3959"
"0.050966739654541016","1557911367.4528902","1557911367.4019234"
"0.16048622131347656","1557911368.5674365","1557911368.4069502"
"0.047460317611694336","1557911369.4597847","1557911369.4123244"
"0.09452962875366211","1557911370.5129037","1557911370.418374"
"0.10525631904602051","1557911371.529373","1557911371.4241166"
"0.11199474334716797","1557911372.5425012","1557911372.4305065"
"0.12032151222229004","1557911373.5544815","1557911373.43416"
"0.10236954689025879","1557911374.5403624","1557911374.4379928"
"0.04960060119628906","1557911375.4934144","1557911375.4438138"
"0.1634221076965332","1557911376.6115017","1557911376.4480796"
"0.05882692337036133","1557911377.510939","1557911377.452112"
"0.09103012084960938","1557911378.5481634","1557911378.4571333"
"0.09485411643981934","1557911379.5570526","1557911379.4621985"
"0.1084752082824707","1557911380.5759017","1557911380.4674265"
"0.046540021896362305","1557911381.5190363","1557911381.4724963"
"0.09184527397155762","1557911382.5689137","1557911382.4770684"
"0.4134855270385742","1557911383.8957274","1557911383.4822419"
"0.05287933349609375","1557911384.5396757","1557911384.4867964"
"0.12407922744750977","1557911385.615402","1557911385.4913228"
"0.09098172187805176","1557911386.5872822","1557911386.4963005"
"0.10608792304992676","1557911387.6073992","1557911387.5013113"
"0.049139976501464844","1557911388.5554607","1557911388.5063207"
"0.15301251411437988","1557911389.6665463","1557911389.5135338"
"0.06354951858520508","1557911390.5837982","1557911390.5202487"
"0.1557774543762207","1557911391.680269","1557911391.5244915"
"0.09077787399291992","1557911392.6207118","1557911392.529934"
"0.20699405670166016","1557911393.7434263","1557911393.5364323"
"0.17643237113952637","1557911394.718178","1557911394.5417457"
"0.11101078987121582","1557911395.659782","1557911395.5487711"
"0.1015017032623291","1557911396.6560197","1557911396.554518"
"0.05737495422363281","1557911397.6169171","1557911397.5595422"
"0.10792732238769531","1557911398.6719196","1557911398.5639923"
"0.275282621383667","1557911399.8449476","1557911399.569665"
"0.2926661968231201","1557911400.8670228","1557911400.5743566"
"0.16517877578735352","1557911401.745946","1557911401.5807672"
"0.37639760971069336","1557911402.9617968","1557911402.5853992"
"0.39422082901000977","1557911403.9839754","1557911403.5897546"
"0.14180421829223633","1557911404.7367804","1557911404.5949762"
"0.11103463172912598","1557911405.7110424","1557911405.6000078"
"0.10212993621826172","1557911406.7069936","1557911406.6048636"
"0.10057830810546875","1557911407.7097955","1557911407.6092172"
"0.05222320556640625","1557911408.66641","1557911408.6141868"
"0.1529836654663086","1557911409.772211","1557911409.6192274"
"0.3116326332092285","1557911410.9370837","1557911410.625451"
"0.04870796203613281","1557911411.6814897","1557911411.6327817"
"0.09646248817443848","1557911412.7349384","1557911412.638476"
"0.10322237014770508","1557911413.7465255","1557911413.6433032"
"0.05884909629821777","1557911414.7075412","1557911414.6486921"
"0.1721503734588623","1557911415.826269","1557911415.6541185"
"0.09749531745910645","1557911416.7575758","1557911416.6600804"
"0.05135321617126465","1557911417.717883","1557911417.66653"
"0.05092787742614746","1557911418.7228472","1557911418.6719193"
"0.14631247520446777","1557911419.824087","1557911419.6777744"
"0.04866528511047363","1557911420.7315226","1557911420.6828573"
"0.08967781066894531","1557911421.778725","1557911421.689047"
"0.054106712341308594","1557911422.748739","1557911422.6946323"
"0.09839487075805664","1557911423.7989028","1557911423.7005079"
"0.10962843894958496","1557911424.816415","1557911424.7067866"
"0.09495735168457031","1557911425.8070533","1557911425.712096"
"0.09275484085083008","1557911426.810275","1557911426.7175202"
"0.10272383689880371","1557911427.8253782","1557911427.7226543"
"0.09717321395874023","1557911428.82421","1557911428.7270367"
"0.08816242218017578","1557911429.8202534","1557911429.732091"
"0.11293649673461914","1557911430.850978","1557911430.7380414"
"0.11916851997375488","1557911431.8635268","1557911431.7443583"
"0.06287789344787598","1557911432.8126597","1557911432.7497818"
"0.09204816818237305","1557911433.846984","1557911433.7549357"
"0.11120343208312988","1557911434.870838","1557911434.7596345"
"0.10479497909545898","1557911435.870338","1557911435.765543"
"0.051468610763549805","1557911436.8221927","1557911436.770724"
"0.09042549133300781","1557911437.8665595","1557911437.776134"
"0.09984374046325684","1557911438.8805196","1557911438.780676"
"0.09988284111022949","1557911439.8850923","1557911439.7852094"
"0.06303048133850098","1557911440.8540523","1557911440.7910218"
"0.09726119041442871","1557911441.894492","1557911441.7972307"
"0.0985574722290039","1557911442.9012282","1557911442.8026707"
"0.11659669876098633","1557911443.9239602","1557911443.8073635"
"0.051250457763671875","1557911444.8636644","1557911444.812414"
"0.11994051933288574","1557911445.936965","1557911445.8170245"
"0.0963749885559082","1557911446.9183228","1557911446.8219478"
"0.05144691467285156","1557911447.878453","1557911447.827006"
"0.11256003379821777","1557911448.9449732","1557911448.8324132"
"0.10126566886901855","1557911449.9388814","1557911449.8376157"
"0.04736948013305664","1557911450.8892977","1557911450.8419282"
"0.3036994934082031","1557911452.1505675","1557911451.846868"
"0.0491023063659668","1557911452.9009197","1557911452.8518174"
"0.09077119827270508","1557911453.9479816","1557911453.8572104"
"0.12693214416503906","1557911454.9909546","1557911454.8640225"
"0.04864811897277832","1557911455.9179664","1557911455.8693182"
"0.15188241004943848","1557911457.0262878","1557911456.8744054"
"0.05618143081665039","1557911457.9373982","1557911457.8812168"
"0.296863317489624","1557911459.1846936","1557911458.8878303"
"0.07691597938537598","1557911459.969016","1557911459.8921"
"0.10123658180236816","1557911460.9986632","1557911460.8974266"
"0.3225672245025635","1557911462.226552","1557911461.9039848"
"0.12717747688293457","1557911463.036164","1557911462.9089866"
"0.18056845664978027","1557911464.0944834","1557911463.913915"
"0.32459545135498047","1557911465.2448452","1557911464.9202497"
"0.09317564964294434","1557911466.0182045","1557911465.9250288"
"0.09916424751281738","1557911467.0296752","1557911466.930511"
"0.05190467834472656","1557911467.986359","1557911467.9344542"
"0.09138011932373047","1557911469.030262","1557911468.9388819"
"0.09539508819580078","1557911470.0385287","1557911469.9431336"
"0.0961456298828125","1557911471.0440845","1557911470.947939"
"0.1064138412475586","1557911472.0582695","1557911471.9518557"
"0.10425543785095215","1557911473.060493","1557911472.9562376"
"0.04792141914367676","1557911474.0092309","1557911473.9613094"
"0.15270590782165527","1557911475.1181102","1557911474.9654043"
"0.2520573139190674","1557911476.2224252","1557911475.970368"
"0.1067056655883789","1557911477.081904","1557911476.9751983"
"0.09253358840942383","1557911478.0717692","1557911477.9792356"
"0.10647988319396973","1557911479.0904474","1557911478.9839675"
"0.05147814750671387","1557911480.0400186","1557911479.9885404"
"0.1024932861328125","1557911481.0956674","1557911480.993174"
"0.10171079635620117","1557911482.10061","1557911481.9988992"
"0.10698151588439941","1557911483.1104953","1557911483.0035138"
"0.048633575439453125","1557911484.0564876","1557911484.007854"
"0.3255598545074463","1557911485.3377914","1557911485.0122316"
"0.060347795486450195","1557911486.0780272","1557911486.0176795"
"0.10663819313049316","1557911487.129195","1557911487.0225568"
"0.12464165687561035","1557911488.15251","1557911488.0278683"
"0.0993196964263916","1557911489.1328905","1557911489.0335708"
"0.09769582748413086","1557911490.1374388","1557911490.039743"
"0.12309050559997559","1557911491.1685781","1557911491.0454876"
